subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,generic,LeftHand,gyr,abs_max,abs_max,y,56.50154589764
VP_01,ftsst,talk,generic,LeftHand,gyr,abs_max,abs_max,z,94.48343412166
VP_01,ftsst,talk,generic,LeftHand,gyr,cov,cov,norm,0.9354826820827469
VP_01,ftsst,talk,generic,LeftHand,gyr,cov,cov,x,-162.0467314917303
VP_01,ftsst,talk,generic,LeftHand,gyr,cov,cov,y,990.1788076084213
VP_01,ftsst,talk,generic,LeftHand,gyr,cov,cov,z,-256.15854252403267
VP_01,ftsst,talk,generic,LeftHand,gyr,entropy,entropy,norm,9.466193206783744
VP_01,ftsst,talk,generic,LeftHand,gyr,fft_aggregated_centroid,fft_aggregated_centroid,norm,1709.478617272599
VP_01,ftsst,talk,generic,LeftHand,gyr,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,6.8496674592874065
VP_01,ftsst,talk,generic,LeftHand,gyr,fft_aggregated_skew,fft_aggregated_skew,norm,1.5378399486333605
VP_01,ftsst,talk,generic,LeftHand,gyr,fft_aggregated_variance,fft_aggregated_variance,norm,3685212.9995719157
VP_01,ftsst,talk,generic,LeftHand,gyr,max_val,max_val,norm,121.15437157592972
VP_01,ftsst,talk,generic,LeftHand,gyr,mean,mean,norm,11.036737183327494
VP_01,ftsst,talk,generic,LeftHand,gyr,mean,mean,x,-0.06837051222237321
VP_01,ftsst,talk,generic,LeftHand,gyr,mean,mean,y,0.006744621393663684
VP_01,ftsst,talk,generic,LeftHand,gyr,mean,mean,z,-0.03050315161026608
VP_01,ftsst,talk,generic,LeftHand,gyr,mean_crossing,mean_crossing,norm,1659.0
VP_01,ftsst,talk,generic,LeftHand,gyr,std,std,norm,10.324676501701585
VP_01,ftsst,talk,generic,LeftHand,gyr,std,std,x,11.079218036050976
VP_01,ftsst,talk,generic,LeftHand,gyr,std,std,y,6.678381169348155
VP_01,ftsst,talk,generic,LeftHand,gyr,std,std,z,7.813642858875359
VP_01,ftsst,talk,generic,LeftHand,vel,abs_energy,abs_energy,norm,61.382328154319
VP_01,ftsst,talk,generic,LeftHand,vel,abs_max,abs_max,x,0.27961
VP_01,ftsst,talk,generic,LeftHand,vel,abs_max,abs_max,y,0.36148
VP_01,ftsst,talk,generic,LeftHand,vel,abs_max,abs_max,z,0.248635
VP_01,ftsst,talk,generic,LeftHand,vel,cov,cov,norm,0.9869293238012269
VP_01,ftsst,talk,generic,LeftHand,vel,cov,cov,x,-363.63595855564796
VP_01,ftsst,talk,generic,LeftHand,vel,cov,cov,y,611.833230066239
VP_01,ftsst,talk,generic,LeftHand,vel,cov,cov,z,-831.3377448849988
VP_01,ftsst,talk,generic,LeftHand,vel,entropy,entropy,norm,9.446885162462914
VP_01,ftsst,talk,generic,LeftHand,vel,fft_aggregated_centroid,fft_aggregated_centroid,norm,867.6452928312127
